analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m,seg_id,segment_label,flow_type,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,convergence_point_km,convergence_point_fraction,has_convergence,convergence_zone_start,convergence_zone_end,spatial_zone_exists,total_a,total_b,participants_involved,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,temporal_overlap_exists,true_pass_exists,has_convergence_policy,no_pass_reason_code,conflict_length_m,width_m,sample_a,sample_b
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,B2,10K Turn to Friel,overtake,Full,10K,14.8,16.35,4.25,5.8,14.8,0.0,True,0.0,0.05,True,368,618,137,81,56,22.0,9.1,81,56,563,True,True,True,,150.0,1.5,"2551, 2562, 2563, ... (10 total)","1529, 1564, 1572, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,B3,10K Turn to Friel,overtake,Full,10K,2.7,4.25,4.25,5.8,,,False,0.29,0.39,True,368,618,0,0,0,0.0,0.0,0,0,0,False,False,False,SPATIAL_ONLY_NO_TEMPORAL,150.0,1.5,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,F1,Friel to Station Rd.,parallel,Full,Half,16.35,18.65,2.7,5.0,16.35,0.0,True,0.0,0.05,True,368,912,108,52,56,14.1,6.1,52,56,424,True,True,True,,200.0,3.0,"2531, 2539, 2548, ... (10 total)","2474, 2477, 2478, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,F1,Friel to Station Rd.,parallel,Full,10K,16.35,18.65,5.8,8.1,16.35,0.0,True,0.0,0.05,True,368,618,293,171,122,46.5,19.7,171,122,2111,True,True,True,,200.0,3.0,"2548, 2563, 2567, ... (10 total)","1501, 1506, 1507, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,F1,Friel to Station Rd.,parallel,Half,10K,2.7,5.0,5.8,8.1,2.7,0.0,True,0.0,0.05,True,912,618,1334,694,451,76.1,73.0,912,555,81423,True,True,True,,200.0,3.0,"1646, 1653, 1670, ... (10 total)","1141, 1193, 1239, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,H1,Trail/Aberdeen to/from Station Rd,counterflow,Full,Half,21.65,23.26,19.2,20.85,21.65,0.0,True,0.0,0.05,True,368,912,634,203,431,55.2,47.3,203,431,2905,True,True,True,,150.0,1.5,"2678, 2776, 2794, ... (10 total)","1653, 1704, 1732, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,H1,Trail/Aberdeen to/from Station Rd,counterflow,Full,10K,21.65,23.26,8.1,9.75,21.65,0.0,True,0.0,0.05,True,368,618,206,119,87,32.3,14.1,119,87,632,True,True,True,,150.0,1.5,"2567, 2572, 2580, ... (10 total)","1540, 1557, 1561, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,H1,Trail/Aberdeen to/from Station Rd,counterflow,Half,10K,19.2,20.85,8.1,9.75,19.2,0.0,True,0.0,0.05,True,912,618,21,11,10,1.2,1.6,11,10,55,True,True,True,,150.0,1.5,"1618, 1620, 1621, ... (10 total)","1606, 1607, 1610, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,I1,Station Rd to Bridge/Mill,counterflow,Full,Half,23.26,29.01,5.0,10.75,23.26,0.0,True,0.0,0.05,True,368,912,51,42,9,11.4,1.0,42,9,335,True,True,True,,200.0,3.0,"2531, 2539, 2542, ... (10 total)","2521, 2522, 2523, ... (9 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,J1,Bridge/Mill to Half Turn (Outbound),counterflow,Full,Half,29.01,31.64,10.75,13.43,29.01,0.0,True,0.0,0.05,True,368,912,356,147,209,39.9,22.9,147,209,2041,True,True,True,,200.0,1.5,"2548, 2563, 2567, ... (10 total)","2315, 2323, 2350, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,J4,Half Turn to Bridge/Mill,counterflow,Full,Half,34.34,36.93,13.43,16.02,34.34,0.0,True,0.0,0.05,True,368,912,300,130,170,35.3,18.6,130,170,1355,True,True,True,,200.0,1.5,"2548, 2563, 2567, ... (10 total)","2350, 2391, 2412, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,J5,Half Turn to Bridge/Mill (Slow Half),counterflow,Full,Half,34.34,36.93,10.75,13.43,34.34,0.0,True,0.0,0.05,True,368,912,69,45,24,12.2,2.6,45,24,203,True,True,True,,200.0,1.5,"2531, 2555, 2563, ... (10 total)","2506, 2507, 2508, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,K1,Bridge/Mill to Station Rd,counterflow,Full,Half,37.12,40.57,16.02,19.47,37.12,0.0,True,0.0,0.05,True,368,912,424,180,244,48.9,26.8,180,244,3105,True,True,True,,200.0,3.0,"2548, 2563, 2567, ... (10 total)","2292, 2311, 2315, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,L1,Trail/Aberdeen to/from Station Rd,counterflow,Full,Half,18.65,20.3,19.2,20.85,,,False,0.28,0.38,True,368,912,0,0,0,0.0,0.0,0,0,3321,False,False,False,SPATIAL_ONLY_NO_TEMPORAL,150.0,1.5,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,L1,Trail/Aberdeen to/from Station Rd,counterflow,Full,10K,18.65,20.3,8.1,9.75,18.65,0.0,True,0.0,0.05,True,368,618,423,206,217,56.0,35.1,206,217,1849,True,True,True,,150.0,1.5,"2548, 2563, 2567, ... (10 total)","1430, 1432, 1440, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,L1,Trail/Aberdeen to/from Station Rd,counterflow,Half,10K,19.2,20.85,8.1,9.75,19.2,0.0,True,0.0,0.05,True,912,618,21,11,10,1.2,1.6,11,10,55,True,True,True,,150.0,1.5,"1618, 1620, 1621, ... (10 total)","1606, 1607, 1610, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,M1,Trail/Aberdeen to Finish (Full to Loop),overtake,Full,Half,20.3,20.55,20.85,21.1,20.3,0.0,True,0.0,0.2,True,368,912,162,66,96,17.9,10.5,66,96,468,True,True,True,,100.0,3.0,"2806, 2814, 2819, ... (10 total)","1626, 1670, 1671, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,M1,Trail/Aberdeen to Finish (Full to Loop),overtake,Full,10K,20.3,20.55,9.75,10.0,20.3,0.0,True,0.0,0.2,True,368,618,265,124,141,33.7,22.8,124,141,751,True,True,True,,100.0,3.0,"2548, 2551, 2562, ... (10 total)","1402, 1440, 1451, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,M1,Trail/Aberdeen to Finish (Full to Loop),overtake,Half,10K,20.85,21.1,9.75,10.0,20.85,0.0,True,0.0,0.2,True,912,618,29,17,12,1.9,1.9,17,12,55,True,True,True,,100.0,3.0,"1628, 1632, 1642, ... (10 total)","1598, 1602, 1604, ... (10 total)"
